City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
60,Sechura,PE,82.42,overcast clouds,-5.5569,-80.8222,Hospedaje Costa Bella
61,Salalah,OM,75.29,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
64,Vaini,TO,80.76,few clouds,-21.2,-175.2,Keleti Beach Resort
73,Mahebourg,MU,80.89,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
77,Dourbali,TD,78.87,scattered clouds,11.8091,15.8632,
86,Hithadhoo,MV,81.5,overcast clouds,-0.6,73.0833,Scoop Guest House
89,Caborca,MX,76.71,clear sky,30.5838,-111.101,Hotel Los Lagos
90,Bonthe,SL,79.95,few clouds,7.5264,-12.505,Bonthe Holiday Village
92,Trat,TH,82.98,broken clouds,12.5,102.5,สวนหนิง-อัศ
93,Rawson,AR,80.26,overcast clouds,-43.3002,-65.1023,Hosteria Sampedro
95,Imbituba,BR,83.82,clear sky,-28.24,-48.6703,Praia Hotel Imbituba
96,Atuona,PF,77.67,light rain,-9.8,-139.0333,Villa Enata
98,Nicolas Bravo,MX,79.68,scattered clouds,18.45,-88.9167,
103,Padang,ID,76.86,overcast clouds,-0.9492,100.3543,Mercure Padang
108,Georgetown,MY,82.33,few clouds,5.4112,100.3354,Cititel Penang
110,Avarua,CK,80.65,overcast clouds,-21.2078,-159.775,Paradise Inn
114,Catumbela,AO,77.11,overcast clouds,-12.4314,13.5472,Hotel Do Kamgamba
119,Rikitea,PF,79.02,light rain,-23.1203,-134.9692,People ThankYou
123,Bengkulu,ID,75.92,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
126,Port Alfred,ZA,75.87,clear sky,-33.5906,26.891,The Halyards Hotel
130,Malakal,SS,80.35,few clouds,9.5334,31.6605,Nile Palace Hotel
132,Ouadda,CF,76.06,few clouds,8.0777,22.4007,
138,Sorong,ID,79.77,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
141,Maridi,SS,79.57,clear sky,4.9158,29.4742,
144,San Felipe,VE,82.27,overcast clouds,10.3399,-68.7425,Posada Llovizna Rodríguez
151,East London,ZA,77.43,clear sky,-33.0153,27.9116,Tu Casa
152,Thinadhoo,MV,81.48,overcast clouds,0.5333,72.9333,
153,Savannah Bight,HN,84.25,clear sky,16.45,-85.85,Villa on Dunbar Rock
154,Caravelas,BR,82.81,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
157,Coihaique,CL,84.81,clear sky,-45.5752,-72.0662,Diego De Almagro Coyhaique
165,Buala,SB,78.17,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
170,Kontagora,NG,84.13,clear sky,10.3999,5.4695,Queens Guest Inn
174,Carnarvon,AU,82.47,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
184,Axim,GH,80.06,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
186,Alofi,NU,82.29,overcast clouds,-19.0595,-169.9187,Taloa Heights
187,Itarema,BR,84.02,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
191,Beloha,MG,75.34,few clouds,-25.1667,45.05,
198,Sibu,MY,75.51,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
206,Poum,NC,80.71,overcast clouds,-20.2333,164.0167,
207,Harlingen,US,78.75,clear sky,26.1906,-97.6961,Courtyard by Marriott Harlingen
209,Bambous Virieux,MU,80.85,moderate rain,-20.3428,57.7575,Casa Tia Villa
211,Sungairaya,ID,75.97,overcast clouds,0.7,108.9,Rumah Kuku Moimoi Shelly
